disease,dataset_name,formulation,diet_and_lifestyle_recommendations,prevention,herbs,medical_intervention
cough,Cough,"Ginger (2g), Honey (1 tsp)",Avoid cold foods; stay hydrated; consume warm liquids.,Avoid irritants,"Tulsi, Ashwagandha","Cough syrup, Antibiotics"
diabetes,Diabetes,Fenugreek (3g daily),Avoid sugary foods; focus on low-GI foods; regular exercise.,Regular exercise,"Jamun, Gudmar","Insulin, Oral meds"
hypertension,Hypertension,Ashwagandha (5g daily),Reduce salt; practice yoga and meditation; avoid spicy foods.,Salt restriction,"Ashwagandha, Arjuna",Antihypertensive meds
migraine,Migraine,Peppermint (2 drops in water),Maintain regular meal times; avoid bright lights; stay hydrated.,Stress management,"Brahmi, Jatamansi","Pain relievers, Botox"
arthritis,Arthritis,"Turmeric (1/2 tsp), Milk (200ml)",Consume anti-inflammatory foods; stay active; avoid cold exposure.,Weight management,"Ashwagandha, Guggul","NSAIDs, Steroids"
common cold,Common Cold,"Tulsi leaves (5), Ginger (1g)",Rest well; consume warm foods; avoid dairy temporarily.,"Good hygiene, Rest","Tulsi, Ginger","Decongestants, Rest"
indigestion,Indigestion,"Ajwain seeds (1 tsp), Water (200ml)",Avoid processed foods; eat smaller meals; stay active.,"Eat small meals, Avoid triggers","Triphala, Ajwain","Antacids, PPIs"
asthma,Asthma,"Mulethi (1/2 tsp), Honey (1 tsp)",Avoid cold and dusty environments; practice breathing exercises.,Avoid allergens,"Ashwagandha, Tulsi","Inhalers, Steroids"
constipation,Constipation,"Triphala (1 tsp), Warm water (200ml)",Increase fiber intake; stay hydrated; practice regular bowel routines.,"Drink water, fiber-rich foods","Triphala, Isabgol","Laxatives, Fiber supplements"
insomnia,Insomnia,"Brahmi (1 tsp), Warm milk (200ml)",Establish a sleep routine; avoid caffeine; practice meditation.,"Sleep routine, Relaxation","Ashwagandha, Jatamansi","Sleep aids, CBT therapy"
obesity,Obesity,"Guggulu (500mg), Warm water (200ml)",Avoid heavy and oily foods; focus on exercise; eat light dinners.,"Exercise, Diet control","Guggul, Triphala",Weight loss medications
skin allergy,Skin Allergy,"Aloe vera gel (fresh, 2 tsp)",Avoid allergens; wear loose clothing; consume cooling foods.,Avoid allergens,"Neem, Tulsi","Antihistamines, Steroids"
anxiety,Anxiety,"Ashwagandha (1 tsp), Tulsi (5 leaves)",Practice yoga; avoid stimulants; focus on mindfulness.,"Stress management, Exercise","Brahmi, Ashwagandha","Antidepressants, CBT"
fever,Fever,"Coriander seeds (1 tsp), Ginger (1g)","Rest; stay hydrated; consume light, warm meals.","Rest, Hydration","Tulsi, Ginger","Antipyretics, Fluids"
acidity,Acidity,"Aloe vera (10ml), Water (200ml)",Avoid spicy foods; eat cooling foods like cucumber.,"Avoid spicy foods, smaller meals","Amla, Ajwain","Antacids, PPIs"
acne,Acne,"Neem leaves (5g), Water (10ml)",Avoid fried foods; include turmeric and green vegetables.,"Clean skin, avoid triggers","Neem, Turmeric","Topical treatments, Antibiotics"
acromegaly,Acromegaly,Ashwagandha (3g daily),"Avoid heavy meals; consume balanced, nutrient-rich foods.",Regular check-ups,"Ashwagandha, Brahmi","Surgery, Medication"
acute kidney injury,Acute Kidney Injury,"Punarnava (3g), Warm water (200ml)",Avoid salty and processed foods; stay hydrated.,Avoid Nephrotoxic Drugs,"Punarnava, Gokshura","Dialysis, Kidney Transplant"
addisons disease,Addison's Disease,"Licorice root (2g), Warm water (200ml)","Include salty foods; consume small, frequent meals.","Avoid Stress, Adequate Rest","Ashwagandha, Licorice",Hormone Replacement Therapy
adrenal insufficiency,Adrenal Insufficiency,"Ashwagandha (2g), Warm water (200ml)",Avoid stress; practice yoga and meditation.,Stress Management,"Ashwagandha, Licorice",Hormone Replacement Therapy
alkaptonuria,Alkaptonuria,"Turmeric (1/2 tsp), Milk (200ml)",Avoid heavy meals; perform light exercises and consume warm meals.,,"Guggulu, Ashwagandha","Symptomatic Treatment, Joint Replacements"
allergies,Allergies,"Tulsi leaves (5g), Warm water (200ml)",Avoid cold foods; include herbal teas in the diet.,"Avoid Triggers, Air Filters","Brahmi, Ashwagandha","Antihistamines, Steroids"
alopecia,Alopecia,Bhringraj oil (as needed),Avoid spicy foods; massage scalp regularly with herbal oils.,Healthy Diet,"Bhringraj, Amla","Topical Steroids, Minoxidil"
alzheimers disease,Alzheimer's Disease,"Brahmi (3g), Warm water (200ml)",Include brain-boosting herbs like Brahmi; engage in memory exercises.,"Mental Stimulation, Diet","Brahmi, Ashwagandha","Cholinesterase Inhibitors, Memantine"
amebiasis,Amebiasis,"Pomegranate rind (5g), Warm water (200ml)",Avoid raw foods; consume easily digestible meals.,Safe Drinking Water,"Kutki, Triphala",Antiprotozoal Drugs
amyotrophic lateral sclerosis als,Amyotrophic Lateral Sclerosis (ALS),"Shankhpushpi (10ml), Water (200ml)",Avoid stress; include grounding and nourishing foods.,,"Ashwagandha, Brahmi","Supportive Care, Riluzole"
argininemia,Argininemia,"Brahmi (2g), Warm water (200ml)",Include protein-restricted diet; practice stress management.,Low-Protein Diet,None specific,"Arginine Supplements, Low-Protein Diet"
argininosuccinic aciduria,Argininosuccinic Aciduria,"Amalaki (10ml), Water (200ml)",Avoid high-protein foods; consume fresh fruits and vegetables.,Low-Protein Diet,None specific,"Arginine Supplements, Low-Protein Diet"
arrhythmia,Arrhythmia,"Arjuna bark (3g), Warm water (200ml)",Avoid caffeine; include grounding foods and practice meditation.,Heart Health Monitoring,"Arjuna, Brahmi","Antiarrhythmic Drugs, Pacemaker"
ascariasis,Ascariasis,"Neem leaves (5g), Warm water (200ml)",Avoid raw and contaminated foods; focus on hygiene.,Safe Drinking Water,"Haritaki, Trifala",Anthelmintics
asparagine synthetase deficiency,Asparagine Synthetase Deficiency,"Brahmi (10ml), Water (200ml)","Avoid processed foods; provide a nutrient-rich, balanced diet.",,None specific,"Supportive Care, Diet Management"
aspartylglucosaminuria,Aspartylglucosaminuria,"Ashwagandha (2g), Warm water (200ml)",Avoid heavy foods; provide fresh fruits and vegetables.,,None specific,"Supportive Care, Diet Management"
atherosclerosis,Atherosclerosis,"Garlic (2 cloves), Warm water (200ml)",Avoid fatty foods; include fiber-rich and antioxidant foods.,"Healthy Diet, Exercise","Arjuna, Ashwagandha","Statins, Blood Pressure Medications"
autosomal dominant polycystic kidney disease,Autosomal Dominant Polycystic Kidney Disease,"Punarnava (3g), Warm water (200ml)",Avoid salty foods; drink plenty of water to flush the system.,Regular Kidney Monitoring,"Punarnava, Gokshura","Kidney Transplant, Dialysis"
back pain,Back Pain,Mahanarayan oil (as needed),Avoid heavy lifting; practice stretching and yoga regularly.,"Ergonomics, Exercise","Guggulu, Ashwagandha","Painkillers, Physical Therapy"
barth syndrome,Barth Syndrome,"Shatavari (2g), Warm milk (200ml)",Include nutrient-dense foods and avoid strenuous activities.,"Genetic Counseling, Monitoring","Arjuna, Ashwagandha","Cardiac Support, Medications"
brugada syndrome,Brugada Syndrome,"Arjuna (3g), Warm water (200ml)",Avoid stress and caffeine; include magnesium-rich foods.,Avoidance of Triggers,None specific,"Implantable Cardioverter Defibrillator (ICD), Medication"
bubonic plague,Bubonic Plague,"Neem (5g), Turmeric (2g)",Practice hygiene; avoid crowded places and eat light meals.,"Avoid Flea Bites, Rodent Control",None specific,"Antibiotics, Supportive Care"
buruli ulcer,Buruli Ulcer,"Turmeric (1g), Water (as needed)",Avoid spicy foods; clean ulcers with antiseptic solutions.,Avoid Contact with Contaminated Water,None specific,"Antibiotics, Surgery"
covid19,COVID-19,"Giloy (3g), Tulsi leaves (5g), Warm water (200ml)","Practice hygiene, stay hydrated, and boost immunity with herbs.","Vaccination, Social Distancing","Ashwagandha, Tulsi","Antiviral Drugs, Oxygen Therapy"
canavan disease,Canavan Disease,"Shankhpushpi (10ml), Warm water (200ml)","Provide a nutrient-dense, balanced diet; avoid stress.",,None specific,"Supportive Care, Medication"
carbamoyl phosphate synthetase i deficiency disease,Carbamoyl Phosphate Synthetase I Deficiency Disease,"Amalaki (10ml), Water (200ml)","Avoid high-protein foods; provide small, frequent meals.",Low-Protein Diet,None specific,"Arginine Supplements, Low-Protein Diet"
cardiomyopathy,Cardiomyopathy,"Arjuna (5g), Warm water (200ml)",Avoid heavy exertion; include antioxidant-rich foods.,Healthy Heart Habits,"Arjuna, Ashwagandha","Heart Medications, Pacemaker"
carpal tunnel syndrome,Carpal Tunnel Syndrome,Dashmool oil (as needed),Avoid repetitive wrist motions; perform hand stretches daily.,"Ergonomics, Stretching","Ashwagandha, Turmeric","Splinting, Surgery, Steroid Injections"
celiac disease,Celiac Disease,"Ajwain (3g), Warm water (200ml)","Avoid gluten; include rice, lentils, and fresh vegetables.",Gluten-Free Diet,"Kutki, Triphala",Gluten-Free Diet
cerebrotendinous xanthomatosis,Cerebrotendinous Xanthomatosis,"Brahmi (2g), Warm milk (200ml)",Include antioxidant-rich foods; avoid fatty foods.,,None specific,"Symptomatic Treatment, Cholesterol-Lowering Drugs"
chagas disease,Chagas Disease,"Neem (3g), Tulsi (3g), Warm water (200ml)",Avoid raw foods; maintain proper hygiene and rest.,"Avoid Insect Bites, Safe Drinking Water",None specific,"Antiprotozoal Drugs, Heart Medications"
chickenpox,Chickenpox,"Neem leaves (10g), Warm water (bath)",Avoid spicy foods; drink coconut water and stay hydrated.,"Vaccination, Avoid Contact","Neem, Tulsi","Antiviral Drugs, Symptom Relief"
chikungunya,Chikungunya,"Giloy (3g), Warm water (200ml)",Avoid heavy physical activity; drink warm soups and herbal teas.,"Mosquito Control, Repellents","Ashwagandha, Guggulu","Antiviral Medications, Pain Relief"
chromoblastomycosis,Chromoblastomycosis,"Turmeric (2g), Neem (2g)",Maintain proper hygiene; avoid raw and contaminated foods.,"Protective Clothing, Avoid Soil Contact","Neem, Turmeric","Antifungal Drugs, Surgery"
chronic kidney disease ckd,Chronic Kidney Disease (CKD),"Punarnava (5g), Warm water (200ml)",Avoid salty foods; drink plenty of water to flush toxins.,"Manage Blood Pressure, Healthy Diet","Punarnava, Gokshura","Dialysis, Kidney Transplant"
chronic obstructive pulmonary disease copd,Chronic Obstructive Pulmonary Disease (COPD),"Mulethi (3g), Warm water (200ml)",Avoid smoking and cold environments; practice pranayama.,"Quit Smoking, Avoid Pollutants","Tulsi, Ginger","Bronchodilators, Steroids"
ciguatera poisoning,Ciguatera Poisoning,"Ginger (2g), Honey (1 tsp)",Stay hydrated; avoid seafood and consume warm foods.,Avoid Risky Seafood,None specific,"Symptom Relief, Antihistamines"
clonorchiasis,Clonorchiasis,"Kutki (2g), Warm water (200ml)","Avoid fatty foods; include light, easily digestible meals.",Avoid Raw Fish Consumption,None specific,Anthelmintic Drugs
coffinlowry syndrome,Coffin-Lowry Syndrome,Ashwagandha (5g daily),"Provide a balanced, nutrient-rich diet; avoid processed foods.",,None specific,"Supportive Care, Therapy"
cold,Cold,"Ginger (2g), Tulsi (5g), Warm water (200ml)",Avoid cold drinks; drink warm soups and inhale steam regularly.,"Hand Hygiene, Avoid Sick People","Ginger, Tulsi","Rest, Fluids, Symptom Relief"
colorectal cancer,Colorectal Cancer,"Amalaki (10ml), Water (200ml)",Include fiber-rich foods; avoid processed and fatty foods.,"Regular Screening, Healthy Diet","Ashwagandha, Guggulu","Surgery, Chemotherapy, Radiation"
contact dermatitis,Contact Dermatitis,Fresh aloe vera gel,Avoid allergens; apply soothing herbal pastes and avoid spicy foods.,"Avoid Irritants, Skin Care","Aloe Vera, Neem","Steroid Creams, Antihistamines"
coronary artery disease,Coronary Artery Disease,"Arjuna (5g), Warm water (200ml)",Avoid oily and fatty foods; include whole grains and exercise regularly.,"Healthy Diet, Exercise, No Smoking","Arjuna, Guggulu","Surgery, Stents, Medications"
costello syndrome,Costello Syndrome,"Shatavari (10ml), Warm water (200ml)",Provide nutrient-dense meals; avoid heavy physical strain.,"Genetic Counseling, Monitoring","Ashwagandha, Brahmi","Surgery, Growth Hormones"
criglernajjar syndrome,Crigler-Najjar Syndrome,"Kutki (2g), Giloy (2g), Warm water (200ml)","Avoid fatty foods; provide small, frequent meals.","Early Detection, Genetic Screening","Neem, Amla","Phototherapy, Liver Transplant"
crimeancongo hemorrhagic fever,Crimean-Congo Hemorrhagic Fever,"Tulsi (5g), Giloy (3g), Warm water (200ml)",Avoid crowded places; practice proper hygiene and rest.,"Avoid Animal Contact, Wear PPE",None specific,"Antiviral Medications, Supportive Care"
crohns disease,Crohn's Disease,"Aloe vera (10ml), Warm water (200ml)",Avoid spicy foods; include probiotics and fiber-rich foods.,"Healthy Diet, Stress Management","Turmeric, Triphala",Anti-inflammatory Medications
cryptosporidiosis,Cryptosporidiosis,"Neem leaves (5g), Warm water (200ml)",Maintain hygiene; avoid contaminated water and food.,"Safe Water Practices, Hygiene",None specific,Antiprotozoal Medications
cushings syndrome,Cushing's Syndrome,"Ashwagandha (5g), Warm water (200ml)",Avoid processed foods; include leafy greens and exercise regularly.,Avoid Unnecessary Steroid Use,"Ashwagandha, Triphala","Surgery, Medications"
cystic fibrosis,Cystic Fibrosis,"Mulethi (3g), Giloy (2g), Warm water (200ml)",Stay hydrated; include antioxidant-rich foods and breathing exercises.,"Genetic Counseling, Early Diagnosis","Ashwagandha, Guduchi","Chest Physiotherapy, Antibiotics"
cysticercosis,Cysticercosis,"Neem (2g), Garlic (2g)",Avoid contaminated foods; practice proper hygiene.,"Safe Food Practices, Hygiene",None specific,"Anticystic Drugs, Surgery"
cystinosis,Cystinosis,"Punarnava (3g), Warm water (200ml)",Stay hydrated; include low-sodium meals and avoid heavy foods.,"Genetic Counseling, Early Detection","Amla, Ashwagandha","Cysteamine, Kidney Transplant"
dandruff,Dandruff,Neem oil (as needed),Avoid oily and processed foods; keep the scalp clean and dry.,"Regular Hair Wash, Scalp Care","Neem, Aloe Vera","Antifungal Shampoos, Steroids"
dementia,Dementia,"Brahmi (2g), Warm water (200ml)",Provide a balanced diet; include brain-boosting foods like nuts and seeds.,"Cognitive Exercise, Healthy Diet","Brahmi, Ashwagandha","Medication for Symptoms, Supportive Care"
dengue fever,Dengue Fever,"Papaya leaves (10ml), Warm water (200ml)",Stay hydrated; include coconut water and rest adequately.,"Mosquito Control, Avoid Bites",None specific,"Supportive Care, Antipyretics"
dengue hemorrhagic fever,Dengue Hemorrhagic Fever,"Giloy (3g), Papaya leaves (10ml), Warm water (200ml)",Avoid strenuous activities; consume light meals and herbal teas.,"Mosquito Control, Avoid Bites",None specific,"Hospitalization, Blood Transfusion"
dentinogenesis imperfecta,Dentinogenesis Imperfecta,"Licorice root (2g), Water (as needed)",Include calcium-rich foods; avoid sugary and acidic foods.,"Dental Care, Early Detection",None specific,"Dental Care, Crowns, Root Canals"
depression,Depression,"Ashwagandha (5g), Warm water (200ml)",Avoid alcohol and caffeine; practice mindfulness and yoga.,"Regular Exercise, Healthy Diet","Ashwagandha, Brahmi","Antidepressants, Therapy"
desbuquois dysplasia,Desbuquois Dysplasia,"Shatavari (10ml), Warm water (200ml)","Include nutrient-dense foods; avoid heavy, processed foods.","Genetic Counseling, Early Diagnosis","Ashwagandha, Guggulu","Physical Therapy, Surgery"
diabetes mellitus type 1 and type 2,Diabetes Mellitus Type 1 and Type 2,"Bitter gourd (50ml), Water (200ml)",Avoid refined sugars; include high-fiber foods and exercise regularly.,"Healthy Diet, Regular Exercise","Bitter Melon, Gymnema Sylvestre","Insulin, Oral Medications"
digestive disorders,Digestive Disorders,"Ajwain (1 tsp), Warm water (200ml)","Avoid fried and greasy foods; eat small, frequent meals.","Healthy Diet, Stress Management","Triphala, Ginger","Medications, Dietary Changes"
dihydropyrimidine dehydrogenase deficiency,Dihydropyrimidine Dehydrogenase Deficiency,"Brahmi (2g), Warm water (200ml)",Avoid stress; drink herbal teas like chamomile.,"Genetic Counseling, Early Diagnosis",None specific,"Chemotherapy, Vitamin Therapy"
diphtheria,Diphtheria,"Turmeric (1/2 tsp), Milk (200ml)",Avoid cold foods; drink warm herbal teas and soups.,"Vaccination, Hygiene Practices",None specific,"Antibiotics, Antitoxins"
down syndrome,Down Syndrome,"Brahmi (2g), Warm water (200ml)","Provide a balanced, nutrient-dense diet; include sensory stimulation.","Genetic Counseling, Early Diagnosis","Brahmi, Ashwagandha","Early Intervention, Surgery"
dracunculiasis,Dracunculiasis,"Neem leaves (5-6), Water (as needed)",Maintain proper hygiene; avoid contaminated water.,"Safe Water Practices, Hygiene",None specific,"Surgery, Antimicrobial Medications"
duchenne muscular dystrophy,Duchenne Muscular Dystrophy,"Shatavari (10ml), Ashwagandha (5g), Warm water",Include protein-rich foods; avoid excessive physical exertion.,"Genetic Counseling, Early Diagnosis","Ashwagandha, Guggulu","Physical Therapy, Steroids"
dyggvemelchiorclausen syndrome,Dyggve-Melchior-Clausen Syndrome,"Shatavari (10ml), Warm water (200ml)","Avoid cold foods; provide a balanced, nutritious diet.","Genetic Counseling, Early Diagnosis",None specific,"Physical Therapy, Surgery"
ebola,Ebola,"Giloy (3g), Neem (2g), Warm water (200ml)",Avoid direct contact with infected individuals; practice hygiene.,Avoid Contact with Infected Individuals,None specific,"Antiviral Medications, Supportive Care"
ebola virus,Ebola Virus,"Tulsi (3g), Giloy (2g), Warm water (200ml)",Practice good hygiene; avoid direct contact with infected individuals.,Avoid Contact with Infected Individuals,None specific,"Antiviral Medications, Supportive Care"
echinococcosis,Echinococcosis,"Triphala (1 tsp), Warm water (200ml)",Avoid raw meat; include fiber-rich foods in the diet.,"Safe Food Practices, Hygiene","Neem, Amla","Surgery, Antiparasitic Medication"
eczema atopic dermatitis,Eczema (Atopic Dermatitis),Fresh Aloe vera gel (apply as needed),Avoid allergens; apply moisturizing creams and use mild soaps.,"Avoid Irritants, Moisturize Skin","Neem, Aloe Vera","Topical Steroids, Moisturizers"
emphysema,Emphysema,"Mulethi (3g), Tulsi (2g), Warm water (200ml)",Avoid smoking; perform breathing exercises and consume light meals.,"Quit Smoking, Avoid Pollutants",None specific,"Oxygen Therapy, Surgery, Medications"
endometriosis,Endometriosis,"Ashwagandha (5g), Warm milk (200ml)",Avoid spicy foods; include anti-inflammatory foods like turmeric.,"Early Diagnosis, Pain Management","Ashwagandha, Shatavari","Surgery, Hormonal Therapy"
enterobiasis,Enterobiasis,"Garlic (2 cloves), Ginger (1g), Warm water (200ml)",Maintain hygiene; avoid sugary foods and consume fiber-rich meals.,"Regular Handwashing, Clean Living",None specific,Anthelmintic Medications
epilepsy,Epilepsy,"Brahmi (2g), Warm water (200ml)",Avoid excessive screen time; practice mindfulness and yoga.,"Avoid Triggers, Medication Adherence","Brahmi, Ashwagandha",Antiepileptic Drugs
fascioliasis,Fascioliasis,"Kutki (3g), Warm water (200ml)",Avoid raw water or food; consume light meals and stay hydrated.,"Safe Food Practices, Hygiene",None specific,Anthelmintic Medications
fibromyalgia,Fibromyalgia,"Ashwagandha (5g), Warm water (200ml)",Include anti-inflammatory foods like turmeric; avoid stress.,"Stress Management, Exercise","Ashwagandha, Guggulu","Pain Management, Antidepressants"
filariasis,Filariasis,"Neem leaves (5-6), Water (as needed)",Avoid stagnant water; maintain proper hygiene.,"Mosquito Nets, Avoid Stagnant Water",None specific,Antifilarial Medications
fragile x syndrome,Fragile X Syndrome,"Brahmi (2g), Warm water (200ml)",Provide a balanced diet with omega-3 fatty acids; avoid processed foods.,"Genetic Counseling, Early Diagnosis",None specific,"Behavioral Therapy, Supportive Care"
gallstones,Gallstones,"Triphala (1 tsp), Warm water (200ml)",Avoid fatty and fried foods; include fiber-rich foods and drink plenty of water.,"Healthy Diet, Regular Exercise",None specific,"Surgery, Medications"
gastroesophageal reflux disease gerd,Gastroesophageal Reflux Disease (GERD),"Ginger (2g), Tulsi (5g), Warm water (200ml)","Avoid spicy and acidic foods; consume smaller, frequent meals.","Healthy Diet, Avoid Trigger Foods","Triphala, Guduchi","Antacids, Proton Pump Inhibitors"
giardiasis,Giardiasis,"Neem leaves (5g), Turmeric (1/2 tsp), Warm water (200ml)",Avoid untreated water; drink herbal teas and eat light meals.,"Safe Water Practices, Hygiene",None specific,Antiprotozoal Medications
glomerulonephritis,Glomerulonephritis,"Punarnava (3g), Warm water (200ml)",Avoid salty foods; drink plenty of water and follow low-protein diet.,"Early Diagnosis, Treatment",None specific,"Immunosuppressive Medications, Dialysis"
gout,Gout,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)",Avoid purine-rich foods (like red meat); consume more fruits and vegetables.,"Healthy Diet, Weight Management",None specific,"Medications (NSAIDs, Uricosuric Drugs)"
graves disease,Graves Disease,"Ashwagandha (5g), Warm water (200ml)",Avoid stimulating foods like caffeine; practice stress reduction.,"Avoid Stress, Regular Monitoring","Ashwagandha, Brahmi","Antithyroid Medications, Surgery"
guillainbarre syndrome,Guillain-Barre Syndrome,"Ashwagandha (5g), Warm water (200ml)",Include light exercises; avoid cold or damp environments.,"Early Diagnosis, Supportive Care",None specific,"Immunoglobulin Therapy, Plasma Exchange"
guinea worm disease,Guinea Worm Disease,"Neem leaves (5-6), Water (as needed)",Maintain hygiene; avoid drinking contaminated water.,"Safe Water Practices, Hygiene",None specific,"Surgery, Antimicrobial Medications"
hivaids,HIV/AIDS,"Guduchi (3g), Warm water (200ml)",Follow a balanced diet rich in vitamins; avoid exposure to infections.,"Safe Sex Practices, Needle Safety",None specific,Antiretroviral Therapy
