disease,dataset_name,formulation,diet_and_lifestyle_recommendations,prevention,herbs,medical_intervention
thyroid disorders,Thyroid Disorders,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Maintain a balanced diet with iodine-rich foods, practice stress-relieving activities.","Regular check-ups, Iodine-rich diet","Ashwagandha, Shatavari","Hormone replacement, Antithyroid drugs"
autoimmune diseases eg lupus,"Autoimmune Diseases (e.g., Lupus)","Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Avoid inflammatory foods, focus on anti-inflammatory and immune-supporting foods.","Stress management, Avoid triggers","Ashwagandha, Gudmar","Immunosuppressants, Steroids"
cancer breast cancer lung cancer prostate cancer etc,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)","Neem leaves (5-6), Turmeric (1/2 tsp), Warm water (200ml)","Eat a nutrient-dense diet, manage stress, avoid alcohol and smoking.","Healthy diet, Avoid smoking, Regular screenings","Ashwagandha, Turmeric","Chemotherapy, Radiation, Surgery"
chronic fatigue syndrome,Chronic Fatigue Syndrome,"Ashwagandha (5g), Ginger (2g), Warm water (200ml)","Focus on energy-boosting foods, establish a regular sleep routine.","Stress management, Sleep hygiene","Ashwagandha, Brahmi","Sleep management, Antidepressants"
diabetes mellitus,Diabetes Mellitus,"Bitter melon (1 tsp), Fenugreek (3g), Warm water (200ml)","Follow a low-glycemic, high-fiber diet, exercise regularly.","Healthy diet, Exercise, Regular check-ups","Jamun, Gudmar","Insulin, Oral medications"
hepatitis a b c,"Hepatitis (A, B, C)","Milk thistle (1 tsp), Turmeric (1/2 tsp), Warm water (200ml)","Avoid alcohol, maintain liver-friendly foods like leafy greens and beets.","Vaccination (A and B), Safe Practices",None specific,"Antiviral Medications, Vaccination"
weight loss,Weight Loss,"Ginger (2g), Triphala (1 tsp), Warm water (200ml)","Focus on balanced meals, avoid processed sugars and refined carbs.","Healthy Diet, Regular Exercise","Garcinia Cambogia, Green Tea","Dietary Changes, Exercise"
weight gain,Weight Gain,"Triphala (1 tsp), Ginger (2g), Warm water (200ml)","Reduce heavy, oily foods, include more fiber-rich and light meals.","Healthy Diet, Regular Exercise","Fenugreek, Ginseng","Dietary Changes, Exercise"
acanthosis nigricans,Acanthosis Nigricans,Aloe Vera gel,"Apply Aloe Vera gel daily, avoid spicy foods.","Healthy Diet, Weight Loss",None specific,Treatment of Underlying Conditions
anemia,Anemia,Spinach (100g),"Include iron-rich foods, avoid caffeine with meals.","Healthy Diet, Iron Supplements","Iron-Rich Foods (Spinach, Red Meat)","Iron Supplements, Blood Transfusion"
angina,Angina,Hawthorn (5g),"Reduce stress, avoid high-fat foods, regular cardiovascular exercise.","Healthy Diet, Regular Exercise",None specific,"Medications, Surgery"
anxiety disorder,Anxiety Disorder,Brahmi (2g),"Practice deep breathing exercises, limit caffeine, establish a sleep routine.","Stress Management, Relaxation Techniques","Ashwagandha, Brahmi","Therapy, Medications"
aortic aneurysm,Aortic Aneurysm,Ginkgo Biloba (60mg daily),"Avoid strenuous activity, maintain blood pressure with a low-salt diet.","Healthy Diet, Regular Monitoring",None specific,"Surgery, Medications"
aphasia,Aphasia,Ginseng (1-2g),"Engage in speech therapy, avoid stress, eat a balanced diet.","Early Diagnosis, Speech Therapy",None specific,"Speech Therapy, Medications"
atopic dermatitis,Atopic Dermatitis,Neem leaves (5-6),"Avoid spicy foods, drink plenty of water, use moisturizing oils.","Avoid Triggers, Moisturize Skin","Neem, Turmeric","Topical Steroids, Moisturizers"
autoimmune hepatitis,Autoimmune Hepatitis,Turmeric (1 tsp daily),"Avoid alcohol, consume liver-supporting foods like bitter greens.","Early Diagnosis, Treat Underlying Conditions",None specific,Immunosuppressive Medications
bacterial infections,Bacterial Infections,Garlic (2-3 cloves daily),"Maintain good hygiene, eat immune-boosting foods like ginger and turmeric.","Good Hygiene, Avoid Contact",None specific,Antibiotics
bipolar disorder,Bipolar Disorder,Ashwagandha (5g),"Regular sleep patterns, manage stress with yoga and meditation.","Therapy, Medication Adherence","Ashwagandha, Brahmi",Medications (Mood Stabilizers)
bladder cancer,Bladder Cancer,Cranberry (200ml daily),"Drink plenty of water, avoid bladder irritants like caffeine and alcohol.","Avoid Smoking, Regular Screening",None specific,"Surgery, Chemotherapy, Radiation"
brain tumors,Brain Tumors,Turmeric (1 tsp daily),Consume anti-inflammatory foods like turmeric and omega-3s.,"Early Diagnosis, Avoid Toxins",None specific,"Surgery, Radiation, Chemotherapy"
bronchiectasis,Bronchiectasis,Licorice root (2g daily),"Practice breathing exercises, stay hydrated, and avoid cold air.","Vaccination, Avoid Smoking",None specific,"Antibiotics, Pulmonary Rehabilitation"
candidiasis,Candidiasis,Coconut oil (1-2 tbsp daily),"Avoid sugar, consume probiotic-rich foods like yogurt.","Good Hygiene, Avoid Overuse of Antibiotics","Neem, Turmeric",Antifungal Medications
cerebral palsy,Cerebral Palsy,Magnesium (250mg daily),"Engage in physical therapy, avoid processed foods, and practice gentle yoga.","Early Diagnosis, Therapy",None specific,"Physical Therapy, Medications"
chronic sinusitis,Chronic Sinusitis,Eucalyptus oil (2 drops in water),"Inhale steam with eucalyptus, avoid allergens, stay hydrated.","Good Hygiene, Avoid Allergens",None specific,"Decongestants, Surgery"
cirrhosis,Cirrhosis,Milk Thistle (200mg daily),"Avoid alcohol, eat liver-supporting foods like beets and bitter greens.","Avoid Alcohol, Treat Infections",None specific,"Liver Transplant, Medications"
cleft lip and palate,Cleft Lip and Palate,Vitamin A (5000 IU daily),"Follow speech therapy, eat soft foods, and avoid harsh chemicals.","Early Diagnosis, Surgery",None specific,Surgery
cold sores,Cold Sores,Lemon balm (5g daily),"Avoid stress, apply a cold compress to the affected area, eat antiviral foods.","Avoid Direct Contact, Stress Management",None specific,Antiviral Medications
conjunctivitis,Conjunctivitis,Chamomile (2g in warm water),"Practice good hygiene, avoid eye irritation, and wear sunglasses.","Good Hygiene, Avoid Contact",None specific,"Antibiotics, Antihistamines"
copd chronic obstructive pulmonary disease,COPD (Chronic Obstructive Pulmonary Disease),Oregano oil (3 drops in water),"Avoid smoking, stay in a smoke-free environment, and do breathing exercises.","Quit Smoking, Avoid Pollutants",None specific,"Medications, Oxygen Therapy"
cystitis,Cystitis,Cranberry (200ml daily),"Drink plenty of water, avoid caffeine, and practice good hygiene.","Good Hygiene, Hydration",None specific,Antibiotics
diabetic neuropathy,Diabetic Neuropathy,Fenugreek (3g daily),"Maintain stable blood sugar levels, avoid refined sugars, and include bitter foods.","Regular Monitoring, Glycemic Control",None specific,"Medications, Pain Management"
diverticulitis,Diverticulitis,Fennel (1 tsp in warm water),"Increase fiber intake, avoid processed foods, and drink plenty of water.","High-Fiber Diet, Regular Screening",None specific,"Antibiotics, Surgery"
dyslipidemia,Dyslipidemia,Garlic (2-3 cloves daily),"Consume a heart-healthy diet rich in omega-3s, exercise regularly, and avoid trans fats.","Healthy Diet, Regular Exercise",None specific,"Statins, Lifestyle Changes"
ear infections,Ear Infections,Garlic (1-2 drops in ear),"Avoid water in the ears, maintain good ear hygiene, and avoid cold air.","Good Hygiene, Avoid Water Exposure",None specific,"Antibiotics, Pain Relief"
erectile dysfunction,Erectile Dysfunction,Ashwagandha (5g daily),"Avoid excessive alcohol, manage stress, and consume zinc-rich foods like pumpkin seeds.","Healthy Lifestyle, Regular Checkups",None specific,"Medications, Therapy, Surgery"
gallbladder disease,Gallbladder Disease,Dandelion root (2g daily),"Avoid high-fat foods, consume bitter herbs, and practice stress management techniques.","Healthy Diet, Weight Management",None specific,"Surgery (Cholecystectomy), Medications"
gastroenteritis,Gastroenteritis,Ginger (2g in warm water),"Stay hydrated, avoid dairy and greasy foods, and eat bland foods like rice and toast.","Good Hygiene, Safe Food Handling",None specific,"Hydration, Antiemetics"
gingivitis,Gingivitis,Clove oil (2-3 drops),"Brush and floss regularly, use saltwater rinses, and avoid sugary foods.","Regular Brushing, Avoid Smoking",None specific,"Dental Cleaning, Antibiotics"
glaucoma,Glaucoma,Triphala (1 tsp at bedtime),"Regular eye check-ups, avoid excessive screen time, and consume anti-inflammatory foods.","Regular Eye Exams, Protect Eyes",None specific,"Medications, Surgery"
goiter,Goiter,Kelp (2-3g daily),"Ensure adequate iodine intake, avoid stress, and include sea vegetables in the diet.","Iodine-Rich Diet, Regular Monitoring","Ashwagandha, Guggulu","Medications, Surgery"
herpes simplex virus hsv,Herpes Simplex Virus (HSV),Aloe vera gel (topically),"Apply Aloe Vera gel, manage stress, and avoid acidic foods like citrus.","Avoid Direct Contact, Stress Management",None specific,Antiviral Medications
hidradenitis suppurativa,Hidradenitis Suppurativa,Turmeric (1 tsp in warm water),"Practice good hygiene, avoid tight clothing, and eat anti-inflammatory foods like turmeric.","Good Hygiene, Avoid Friction",None specific,"Medications (Antibiotics, Steroids)"
hodgkins lymphoma,Hodgkin's Lymphoma,Turmeric (1 tsp daily),"Follow cancer treatment, maintain a healthy immune system with a nutrient-rich diet.","Early Detection, Regular Checkups","Ashwagandha, Turmeric","Chemotherapy, Radiation Therapy"
hyperlipidemia,Hyperlipidemia,Garlic (2-3 cloves daily),"Consume healthy fats like omega-3s, avoid fried foods, and exercise regularly.","Healthy Diet, Regular Exercise",None specific,"Statins, Lifestyle Changes"
lymphadenopathy,Lymphadenopathy,Turmeric (1 tsp daily),"Consume anti-inflammatory foods like turmeric, avoid processed foods, and manage stress.","Early Diagnosis, Regular Monitoring",None specific,Dependent on underlying condition
menieres disease,Meniere's Disease,Brahmi (2g daily),"Avoid loud noises, reduce salt intake, and practice relaxation techniques like yoga.","Low-Salt Diet, Stress Management",None specific,"Diuretics, Steroids, Surgery"
multiple myeloma,Multiple Myeloma,Turmeric (1 tsp daily),"Follow medical treatment, eat nutrient-rich foods to boost immunity, and manage stress.","Regular Monitoring, Early Detection",None specific,"Chemotherapy, Stem Cell Transplant"
myocardial infarction heart attack,Myocardial Infarction (Heart Attack),Garlic (2-3 cloves daily),"Follow heart-healthy diet, avoid processed foods, and incorporate cardio exercises.","Healthy Diet, Avoid Smoking","Garlic, Ashwagandha","Medications, Surgery (Angioplasty, Bypass)"
nasal polyps,Nasal Polyps,Eucalyptus oil (2-3 drops in water),"Avoid allergens, use saline nasal sprays, and practice deep breathing exercises.","Avoid Allergens, Manage Sinus Infections",None specific,"Medications (Steroids, Surgery)"
polycythemia vera,Polycythemia Vera,Triphala (1 tsp at bedtime),"Maintain hydration, avoid iron-rich foods, and follow doctor’s treatment plan.","Early Diagnosis, Regular Monitoring",None specific,"Phlebotomy, Medications"
posttraumatic stress disorder ptsd,Post-Traumatic Stress Disorder (PTSD),Brahmi (2g daily),"Engage in mindfulness techniques, consume calming foods like chamomile, and seek therapy.","Therapy, Stress Management",None specific,"Therapy (CBT), Medications"
prostate enlargement benign prostatic hyperplasia,Prostate Enlargement (Benign Prostatic Hyperplasia),Saw palmetto (2g daily),"Avoid caffeine, practice relaxation techniques, and eat a diet rich in antioxidants.","Healthy Diet, Regular Monitoring",None specific,"Medications, Surgery"
psoriatic arthritis,Psoriatic Arthritis,Turmeric (1 tsp daily),"Avoid cold weather exposure, consume anti-inflammatory foods, and engage in regular stretching.","Healthy Diet, Stress Management","Ashwagandha, Turmeric","Medications (NSAIDs, DMARDs)"
raynauds disease,Raynaud's Disease,"Ginger (2g), Honey (1 tsp)","Avoid cold environments, wear warm clothing, and consume foods that improve circulation.","Keep Warm, Avoid Stress",None specific,"Medications (Vasodilators, Calcium Channel Blockers)"
sciatica,Sciatica,Ashwagandha (5g daily),"Engage in gentle stretching exercises, avoid sitting for long periods, and sleep in a neutral position.","Proper Posture, Regular Exercise",None specific,"Pain Relievers, Physical Therapy"
sinusitis,Sinusitis,Eucalyptus oil (2-3 drops in water),"Stay hydrated, practice steam inhalation, and avoid allergens.","Avoid Allergens, Stay Hydrated",None specific,"Antibiotics, Decongestants, Nasal Sprays"
skin infections,Skin Infections,"Neem leaves (5-6), Water (as needed)","Apply neem paste, avoid harsh chemicals, and keep the skin clean and dry.","Proper Hygiene, Wound Care","Aloe Vera, Tea Tree Oil","Antibiotics, Antifungals"
spinal cord injury,Spinal Cord Injury,Ashwagandha (5g daily),"Focus on rehabilitation, maintain a nutritious diet to support nerve health, and practice gentle exercises.","Safety Precautions, Proper Posture",None specific,"Surgery, Rehabilitation"
spondylosis,Spondylosis,Turmeric (1 tsp daily),"Maintain a good posture, engage in back-strengthening exercises, and apply warm compresses.","Proper Posture, Regular Exercise",None specific,"Pain Relievers, Physical Therapy"
stomach cancer,Stomach Cancer,"Ginger (2g), Honey (1 tsp)","Consume small, frequent meals, avoid processed foods, and follow cancer treatment guidelines.","Healthy Diet, Avoid Smoking",None specific,"Surgery, Chemotherapy, Radiation"
strep throat,Strep Throat,"Honey (1 tsp), Lemon (1 tbsp)","Stay hydrated, avoid irritants like smoke, and rest your voice.","Proper Hygiene, Avoid Infected Individuals",None specific,Antibiotics
stress,Stress,Ashwagandha (5g daily),"Practice relaxation techniques like yoga and deep breathing, eat nutrient-dense foods, and engage in regular physical activity.","Regular Exercise, Relaxation Techniques","Ashwagandha, Brahmi","Stress Management Techniques, Therapy"
systemic lupus erythematosus sle,Systemic Lupus Erythematosus (SLE),Turmeric (1 tsp daily),"Avoid sun exposure, maintain a balanced diet rich in antioxidants, and engage in regular exercise.","Sun Protection, Stress Management","Ashwagandha, Turmeric","Immunosuppressants, NSAIDs"
testicular cancer,Testicular Cancer,Turmeric (1 tsp daily),"Include antioxidant-rich foods, follow treatment protocols, and avoid exposure to toxins.","Early Detection, Regular Self-Exams",None specific,"Surgery, Chemotherapy, Radiation"
thyroid cancer,Thyroid Cancer,Ashwagandha (5g daily),"Consume thyroid-supportive foods, maintain a stress-free lifestyle, and follow medical guidance.","Regular Check-ups, Avoid Radiation",None specific,"Surgery, Radiation, Chemotherapy"
tinnitus,Tinnitus,Brahmi (2g daily),"Avoid loud noises, consume anti-inflammatory foods, and practice relaxation techniques.","Avoid Loud Noises, Stress Management",None specific,"Sound Therapy, Medications, Surgery"
urinary tract infection uti,Urinary Tract Infection (UTI),Cranberry (1 cup juice),"Drink plenty of fluids, avoid irritants like caffeine, and maintain hygiene.","Proper Hygiene, Hydration",None specific,Antibiotics
varicose veins,Varicose Veins,Horse chestnut (1 tsp daily),"Avoid prolonged sitting or standing, elevate legs, and incorporate leg-strengthening exercises.","Regular Exercise, Avoid Prolonged Sitting",None specific,"Sclerotherapy, Surgery, Compression Stockings"
viral infections,Viral Infections,Echinacea (2g daily),"Increase fluid intake, rest, and consume immune-boosting foods like garlic.","Proper Hygiene, Vaccination",None specific,"Antiviral Medications, Supportive Care"
whipples disease,Whipple's Disease,Probiotic (1 capsule daily),"Follow a high-protein, nutrient-dense diet, avoid sugar, and follow medical advice.","Good Nutrition, Proper Hygiene",None specific,Antibiotics (Long-term)
worm infections,Worm Infections,Papaya seeds (1 tsp daily),"Maintain proper hygiene, eat fiber-rich foods, and consume anti-parasitic herbs.","Proper Hygiene, Safe Drinking Water",None specific,Anthelmintic Medications
yeast infections,Yeast Infections,Garlic (2-3 cloves daily),"Consume antifungal foods like garlic, avoid sugar, and maintain good hygiene.","Proper Hygiene, Avoid Excessive Antibiotics",None specific,Antifungal Medications
zoonotic infections,Zoonotic Infections,Turmeric (1 tsp daily),"Avoid contact with infected animals, practice hygiene, and consume immune-boosting foods.",Avoid Contact with Infected Animals,None specific,"Antibiotics, Antivirals"
bells palsy,Bell's Palsy,Vitamin B12 (1000mcg daily),"Manage stress, practice facial exercises, and consume nutrient-rich foods.","Stress Management, Healthy Lifestyle",None specific,"Steroids, Antiviral Medications"
diabetic retinopathy,Diabetic Retinopathy,Amla (1 tsp daily),"Monitor blood sugar levels, consume antioxidants, and avoid processed sugar.","Blood Sugar Control, Regular Eye Exams",None specific,"Laser Treatment, Anti-VEGF Injections"
choleraCholera,Neem leaves 5g Turmeric 1g Warm water 200ml,Avoid contaminated water stay hydrated consume light rice-based meals.,Safe drinking water hygiene practices,Neem Turmeric,Oral rehydration salts Antibiotics ORS Antibiotics
alzheimersAlzheimers,Brahmi 3g Warm milk 200ml,Brain-boosting foods like nuts engage in memory exercises avoid processed foods.,Mental stimulation healthy diet,Brahmi Ashwagandha,Cholinesterase inhibitors Memantine
mpoxMpox,Neem leaves 5g Warm water bath,Avoid animal contact consume immune-boosting foods like citrus rest adequately.,Vaccination avoid contact,Neem Tulsi,Supportive care antivirals
shigellaShigella,Garlic 2 cloves Ginger 2g Warm water 200ml,Hand hygiene avoid raw foods stay hydrated.,Safe food water practices,Garlic Ginger,Antibiotics hydration
norovirusNorovirus,Ginger 2g Honey 1 tsp Warm water 200ml,Eat bland foods rest avoid dairy temporarily.,Handwashing avoid sick contacts,Ginger Tulsi,Supportive care hydration
typhoidTyphoid,Giloy 3g Haritaki 2g Warm water 200ml,Avoid contaminated water light digestible foods like khichdi stay hydrated.,Safe water hygiene vaccination,Giloy Guduchi Haritaki,Antibiotics fluids IV
dysenteryDysentery,Kutaj 3g Bilva 2g Warm water 200ml,Avoid raw foods dairy small frequent meals electrolyte balance.,Handwashing safe food,Kutaj Bilva Musta,Antibiotics rehydration
parkinsonsParkinsons,Brahmi 3g Ashwagandha 5g Warm milk 200ml,Avoid stress omega-3 rich foods gentle yoga pranayama.,Regular checkups neuroprotection,Brahmi Ashwagandha Mucuna,Levodopa therapy deep brain stimulation
strokeStroke,Ashwagandha 5g Arjuna 3g Warm water 200ml,Avoid high salt fatty foods BP control light walking meditation.,BP management healthy diet,Ashwagandha Arjuna Brahmi,Aspirin thrombolysis rehab
pneumoniaPneumonia,Tulsi 5g Giloy 3g Honey 1 tsp,Avoid cold dairy warm soups hydration breathing exercises.,Vaccination avoid pollutants,Tulsi Giloy Pippali,Antibiotics oxygen therapy
osteoporosisOsteoporosis,Shatavari 5g Praval pishti 500mg Warm milk,Avoid caffeine excess salt calcium-rich foods weight-bearing exercise.,Bone density screening calcium intake,Shatavari Ashwagandha Praval,Bisphosphonates calcium supplements
pcosPCOS,Shatavari 5g Kanchnar 3g Warm water 200ml,Avoid sugar refined carbs exercise yoga balanced hormones.,Weight management insulin sensitivity,Shatavari Kanchnar Guduchi,Oral contraceptives metformin
sickle cellSickleCell,Kumari 10ml Punarnava 3g Warm water,Avoid dehydration folic acid-rich foods stay warm hydration.,Genetic counseling prenatal screening,Ashwagandha Punarnava Guduchi,Hydroxyurea transfusions
thalassemiaThalassemia,Amla 3g Punarnava 3g Warm water 200ml,Avoid iron overload antioxidant foods chelation support.,Genetic screening transfusions,Amla Punarnava Draksha,Blood transfusions chelation
breast cancerBreastCancer,Kanchnar guggul 1g Turmeric 1g Warm water,Avoid processed foods anti-inflammatory diet yoga stress reduction.,Mammograms healthy lifestyle,Kanchnar Curcumin Ashwagandha,Surgery chemo radiation hormone therapy
prostate cancerProstateCancer,Varun 3g Gokshura 3g Warm water,Avoid dairy red meat lycopene-rich foods exercise.,PSA screening healthy prostate diet,Varun Gokshura Punarnava,Surgery radiation hormone therapy
rabiesRabies,Brahmi 3g Ashwagandha 5g Warm water,Avoid animal bites immediate post-exposure rest hydration.,Vaccination animal control,Brahmi Guduchi Tulsi,Post-exposure prophylaxis immunoglobulin
polioPolio,Ashwagandha 5g Shatavari 5g Warm milk,Avoid exertion physiotherapy nutrient-dense diet.,Vaccination sanitation,Ashwagandha Bala Dashmool,Vaccines supportive physio ventilators
phenylketonuriaPKU,Brahmi 2g Warm water 200ml,Low-phenylalanine diet fresh veggies avoid triggers.,Newborn screening low-protein diet,None specific,Low-Phe formula enzyme therapy
taysachsTay-Sachs,Brahmi 2g Ashwagandha 3g Warm milk,Avoid stress supportive nutrition enzyme support.,Genetic counseling carrier screening,None specific,Supportive care gene therapy research
ovarian cancerOvarianCancer,Kanchnar 3g Kumari 10ml Warm water,Avoid toxins fiber-rich diet yoga detox.,CA-125 screening healthy weight,Kanchnar Aloe Ashwagandha,Surgery chemo targeted therapy
pancreatitisPancreatitis,Amla 3g Warm water 200ml,Avoid alcohol fatty foods low-fat diet rest pancreas.,Abstain alcohol healthy diet,Amla Triphala Punarnava,IV fluids enzymes surgery
glaucomaGlaucoma,Brahmi 3g Triphala 1 tsp Warm water,Avoid screens eye exercises antioxidant foods.,Regular eye exams IOP control,Brahmi Triphala Amla,Eye drops surgery laser
multiple sclerosisMSS,Brahmi 3g Ashwagandha 5g Warm milk,Avoid stress omega-3 anti-inflammatory diet yoga.,Vitamin D sun exposure,Brahmi Ashwagandha Satavari,Immunomodulators steroids
rheumatoid arthritisRheumatoidArthritis,Guggul 500mg Turmeric 1g Warm milk,Avoid cold dairy anti-inflammatory foods gentle exercise.,Early diagnosis weight control,Guggul Boswellia Ashwagandha,DMARDs biologics
